review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,31,113,2,Satisfecho,Llegó a tiempo y en perfecto estado.,true,26,2023-05-18
2,47,302,5,Buena calidad,No cumplió mis expectativas.,true,34,2024-08-04
3,17,49,1,Podría mejorar,Cumple con lo prometido.,true,4,2025-09-08
4,4,249,3,Muy bueno,Muy buena calidad por el precio.,true,49,2024-04-20
5,74,162,1,Satisfecho,El producto es correcto pero la entrega tardó.,false,9,2025-01-06
6,45,170,2,Muy bueno,No cumplió mis expectativas.,true,47,2023-09-06
7,52,196,4,Satisfecho,Cumple con lo prometido.,false,9,2024-04-21
8,52,279,2,Muy bueno,Bueno pero esperaba un poco más.,true,28,2025-02-15
9,7,22,2,Excelente producto,No cumplió mis expectativas.,true,11,2023-11-06
10,58,255,1,Recomendado,No cumplió mis expectativas.,true,45,2025-03-31
11,24,21,2,Excelente producto,Cumple con lo prometido.,true,30,2025-08-24
12,71,296,4,Satisfecho,Bueno pero esperaba un poco más.,false,6,2025-08-02
13,70,168,4,No tan bueno,El producto es correcto pero la entrega tardó.,false,23,2024-06-06
14,41,215,3,Recomendado,No cumplió mis expectativas.,false,34,2024-10-15
15,68,37,3,No tan bueno,Muy buena calidad por el precio.,true,50,2023-08-04
16,25,246,3,Podría mejorar,Muy buena calidad por el precio.,true,44,2025-12-10
17,50,199,5,No tan bueno,No cumplió mis expectativas.,true,17,2023-08-23
18,37,156,3,Podría mejorar,No cumplió mis expectativas.,true,36,2023-10-23
19,7,57,3,Podría mejorar,Muy buena calidad por el precio.,false,21,2025-12-29
20,15,75,1,Muy bueno,Cumple con lo prometido.,true,12,2025-09-23
21,68,115,5,Recomendado,El producto es correcto pero la entrega tardó.,true,18,2024-06-07
22,37,211,1,Excelente producto,Bueno pero esperaba un poco más.,true,48,2023-10-12
23,72,73,5,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,44,2023-02-15
24,81,322,5,Recomendado,Llegó a tiempo y en perfecto estado.,false,48,2024-04-17
